Name of Organization,EIN,Classification,Nonprofit Tax Code Designation: 501(c)(3),FISCAL YEAR,Total Revenue,Total Functional Expenses,Net Income
MARTINS POINT HEALTH CARE INC,01-0353275,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,472119641.0,432011666.0,40107975.0
EASTPORT HEALTH CARE INC,01-0354589,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2021.0,7000840.0,5550740.0,1450100.0
YORK COUNTY SHELTER PROGRAMS INC,01-0361089,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,4105099.0,4682321.0,
ALPHA ONE,01-0368096,"Homemaker, Home Health Aide (Human Services — Multipurpose and Other)",Yes,2020.0,17572329.0,16540060.0,1032269.0
WORK FIRST INC,01-0369660,Rehabilitative Medical Services (Health — General and Rehabilitative),Yes,2021.0,1611111.0,1340529.0,270582.0
ATLANTIC PARTNERS EMS INC,01-0373341,"Ambulance, Emergency Medical Transport Services (Health — General and Rehabilitative)",Yes,2020.0,1161826.0,1267984.0,
MAINE VETERANS HOME,01-0376832,"Nursing, Convalescent Facilities (Health — General and Rehabilitative)",Yes,2020.0,126323581.0,101373945.0,24949636.0
PINES HEALTH SERVICES,01-0376890,Hospitals and Related Primary Medical Care Facilities (Health — General and Rehabilitative),Yes,2020.0,22942915.0,22916019.0,26896.0
LINCOLNHEALTH COVES EDGE,01-0382340,"Nursing, Convalescent Facilities (Health — General and Rehabilitative)",Yes,2020.0,12022430.0,12491373.0,
CENTRAL MAINE COMMUNITY HEALTH CORPORATION,01-0386912,"Voluntarism Promotion (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,850614.0,921960.0,
CENTRAL MAINE HEALTHCARE CORPORATION,01-0386913,Community Health Systems (Health — General and Rehabilitative),Yes,2020.0,85957937.0,70691635.0,15266302.0
NORTHERN AROOSTOOK ALTERNATIVES INC,01-0389416,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2021.0,955049.0,1008185.0,
DAVIS FAMILY FOUNDATION,01-0390443,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,4463881.0,2251974.0,2211907.0
MAINE COMMUNITY FOUNDATION INC,01-0391479,"Community Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,58485060.0,52568495.0,5916565.0
NAMI-MAINE INCORPORATED,01-0406214,"Mental Health Treatment - Multipurpose and N.E.C. (Mental Health, Crisis Intervention)",Yes,2020.0,2243852.0,2334159.0,
DANFORTH HABILITATION ASSOCIATION,01-0406704,Rehabilitative Medical Services (Health — General and Rehabilitative),Yes,2021.0,3442335.0,3055306.0,387029.0
SUNRISE OPPORTUNITIES,01-0407276,"Group Home, Residential Treatment Facility - Mental Health Related (Mental Health, Crisis Intervention)",Yes,2021.0,10627751.0,8003864.0,2623887.0
HARRINGTON FAMILY HEALTH CENTER,01-0409494,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,3218269.0,2807994.0,410275.0
COMMUNITY CLINICAL SERVICES INC,01-0409788,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,12207878.0,13749037.0,
AREA IV MENTAL HEALTH SERVICES COALITION,01-0411761,"Mental Health Treatment - Multipurpose and N.E.C. (Mental Health, Crisis Intervention)",Yes,2020.0,2560911.0,2722499.0,
MAINE MOBILE HEALTH PROGRAM INC,01-0414441,"Health Treatment Facilities, Primarily Outpatient (E39Z) (Health — General and Rehabilitative)",Yes,2020.0,1914739.0,1742148.0,172591.0
ALTERNATIVE HEALTH SERVICES OF ST JOSEPH INC,01-0422885,Home Health Care (Health — General and Rehabilitative),Yes,2020.0,4481725.0,4357629.0,124096.0
MAINHEALTH SERVICES,01-0431680,Fund Raising and/or Fund Distribution (Health — General and Rehabilitative),Yes,2020.0,36404238.0,41169965.0,
MMC REALTY CORP,01-0434215,Single Organization Support (Health — General and Rehabilitative),Yes,2020.0,5719456.0,3661828.0,2057628.0
NORTHERN OXFORD REGIONAL AMBULANCE SERVICE,01-0436438,"Ambulance, Emergency Medical Transport Services (Health — General and Rehabilitative)",Yes,2020.0,2311702.0,2147799.0,163903.0
RONALD MCDONALD HOUSE CHARITIES INC,01-0448263,"Patient Services - Entertainment, Recreation (Health — General and Rehabilitative)",Yes,2020.0,1694803.0,1141226.0,553577.0
FISH RIVER RURAL HEALTH,01-0452749,Public Health Program (Includes General Health and Wellness Promotion Services) (Health — General and Rehabilitative),Yes,2021.0,10365129.0,8294128.0,2071001.0
OXFORD COUNTY MENTAL HEALTH SERVICES,01-0466967,"Mental Health, Crisis Intervention N.E.C.",Yes,2020.0,4314158.0,3663962.0,650196.0
ST CROIX REGIONAL FAMILY HEALTH CENTER,01-0467073,Hospitals and Related Primary Medical Care Facilities (Health — General and Rehabilitative),Yes,2020.0,4893314.0,4079469.0,813845.0
SOUTHERN MAINE FINANCE AGENCY,01-0472964,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,828928.0,676749.0,152179.0
CROSSROADS FOR WOMEN INC,01-0473057,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2020.0,5393054.0,4833493.0,559561.0
MAKE-A-WISH FOUNDATION OF MAINE,01-0477512,"Patient Services - Entertainment, Recreation (Health — General and Rehabilitative)",Yes,2020.0,1499518.0,1322858.0,176660.0
RANGELEY REGION HEALTH & WELLNESS PARTNERSHIP,01-0485045,Single Organization Support (Health — General and Rehabilitative),Yes,2021.0,1284355.0,1247821.0,36534.0
HOME RESOURCES OF MAINE INC,01-0490620,"Homemaker, Home Health Aide (Human Services — Multipurpose and Other)",Yes,2020.0,5929998.0,7421136.0,
FRANCIS T & LOUISE T NICHOLS FOUNDATION,01-0493311,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1756188.0,2623627.0,
ISLAND COMMONS RESOURCE CENTER,01-0496139,Health - General and Rehabilitative N.E.C.,Yes,2020.0,802639.0,671736.0,130903.0
MID COAST GERIATRIC SERVICES CORP,01-0496221,Hospitals and Related Primary Medical Care Facilities (Health — General and Rehabilitative),Yes,2020.0,10919139.0,10452148.0,466991.0
WINGS FOR CHILDREN AND FAMILIES,01-0498250,"Mental Health Treatment - Multipurpose and N.E.C. (Mental Health, Crisis Intervention)",Yes,2020.0,4865049.0,4541694.0,323355.0
JOHN T GORMAN FOUNDATION,01-0498551,"Corporate Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2984161.0,10801395.0,
AMISTAD,01-0500860,Health - General and Rehabilitative N.E.C.,Yes,2020.0,1891870.0,1831230.0,60640.0
NORDX,01-0511356,Health - General and Rehabilitative N.E.C.,Yes,2020.0,87579107.0,75611709.0,11967398.0
MACHIAS SAVINGS BANK COMMUNITY DEVELOPMENT FOUNDATION,01-0514175,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,855965.0,500375.0,
PENOBSCOT COMMUNITY HEALTH CENTER,01-0514750,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,89145300.0,90135871.0,
BIODIVERSITY,01-0515381,"Research Institutes and/or Public Policy Analysis (Environmental Quality, Protection and Beautification )",Yes,2021.0,3542741.0,3485310.0,57431.0
RIPPLEFFECT INC,01-0521260,"AIDS (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,1206609.0,1138945.0,67664.0
BORMAN FAMILY FOUNDATION,01-0522171,"Philanthropy, Voluntarism, and Grantmaking Foundations N.E.C.",Yes,2021.0,871838.0,455494.0,
KENNEBEC VALLEY DENTAL COALITION INC,01-0524329,Single Organization Support (Health — General and Rehabilitative),Yes,2020.0,987731.0,1031930.0,
JEWISH COMMUNITY ALLIANCE OF SOUTHERN MAINE,01-0530420,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2144569.0,2309261.0,
LAND CONSERVATION ASSISTANCE NETWORK,01-0531683,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,631077.0,875509.0,
MAINE SPACE GRANT CONSORTIUM,01-0532411,"Physical Sciences, Earth Sciences Research and Promotion (Science and Technology Research Institutes, Services)",Yes,2021.0,1010110.0,1010102.0,8.0
MAINE HEALTH ACCESS FOUNDATION INC,01-0535144,Fund Raising and/or Fund Distribution (Health — General and Rehabilitative),Yes,2020.0,3776626.0,6737217.0,
BANGOR NURSING & REHABILITATION CENTER,01-0538534,"Nursing, Convalescent Facilities (Health — General and Rehabilitative)",Yes,2020.0,6582141.0,6485653.0,96488.0
JANUS SUPPORTIVE LIVING SERVICES INC,01-0540911,"Mental Health Treatment - Multipurpose and N.E.C. (Mental Health, Crisis Intervention)",Yes,2020.0,1229764.0,1165640.0,64124.0
WASHINGTON COUNTY EMERGENCY MEDICAL SERVICE AUTHORITY,01-0541892,Hospitals and Related Primary Medical Care Facilities (Health — General and Rehabilitative),Yes,2020.0,1873655.0,1657387.0,216268.0
PENOBSCOT VALLEY HOSPITAL,01-0545327,Hospitals and Related Primary Medical Care Facilities (Health — General and Rehabilitative),Yes,2020.0,19679787.0,18556488.0,1123299.0
UNITED AMBULANCE,01-0545335,"Ambulance, Emergency Medical Transport Services (Health — General and Rehabilitative)",Yes,2021.0,7719531.0,7805375.0,
NARRAGANSETT NUMBER ONE FOUNDATION,01-0546133,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,906174.0,496191.0,
SEBASTICOOK FAMILY DOCTORS,01-0546327,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2020.0,6114318.0,5532862.0,581456.0
KENNEBUNK SAVINGS BANK FOUNDATION,01-0547392,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,660941.0,564979.0,
MAIN STREET MOBILE TREATMENT ASSOCIATES INC,01-0547918,"Mental Health Disorders (Mental Health, Crisis Intervention)",Yes,2020.0,2351182.0,2319159.0,32023.0
KUEHNER BROTHERS FOUNDATION INC,01-0548657,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1012312.0,104238.0,
LOUISIANA OUTSIDE COUNSEL HEALTH AND ETHICS FOUNDATION,01-0550123,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,750000.0,750000.0,
KIDS CANCER FOUNDATION INC,01-0551879,Health Support Services (Health — General and Rehabilitative),Yes,2020.0,810707.0,720194.0,90513.0
FG FOUNDATION,01-0552288,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1206408.0,239163.0,967245.0
DANCING TIDES FOUNDATION INC,01-0553351,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1810050.0,3357513.0,
AMERICAN FRIENDS OF YESHIVAT HESDDER SDEROT INC,01-0553431,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1590066.0,620754.0,969312.0
FLORIDA PROTON THERAPY INSTITUTE INC,01-0554709,"Hospital, Specialty (Health — General and Rehabilitative)",Yes,2020.0,45035424.0,43182335.0,1853089.0
THE CHRIS AND MELODY MALACHOWSKY FAMILY FOUNDATION,01-0555028,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1958808.0,2094205.0,
NATIONAL NURSE-LED CARE CONSORTIUM,01-0560081,Management & Technical Assistance (Health — General and Rehabilitative),Yes,2020.0,10690689.0,10948320.0,
ASIAN HUMAN SERVICES FAMILY HEALTH CENTER INC,01-0567661,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2020.0,9542776.0,9850162.0,
BONNEY FAMILY FOUNDATION INC,01-0568837,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3837681.0,3424797.0,
EAST ARKANSAS ENTERPRISE COMMUNITY,01-0570543,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,503965.0,492243.0,11722.0
MERCK PATIENT ASSISTANCE PROGRAM INC,01-0575520,"Corporate Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1581981510.0,1581981510.0,
MINOT COMMUNITY FOUNDATION,01-0589927,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,2694808.0,1515166.0,1179642.0
OLYMPIC PENINSULA COMMUNITY CLINIC,01-0590704,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2020.0,551078.0,617503.0,
COOPERATIVE HEALTHCARE SERVICES INC,01-0594994,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2020.0,66562213.0,99947112.0,
ACCESS INSTITUTE FOR PSYCHOLOGICAL SERVICES,01-0595862,"Mental Health Treatment - Multipurpose and N.E.C. (Mental Health, Crisis Intervention)",Yes,2020.0,1621175.0,1572668.0,48507.0
AMERICAN INTERNATIONAL SCHOOL OF BAMAKO FOUNDATION,01-0601606,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,1561468.0,1738481.0,
SAINT FRANCIS HOSPITAL SOUTH LLC,01-0603214,Hospitals and Related Primary Medical Care Facilities (Health — General and Rehabilitative),Yes,2020.0,181872227.0,120915484.0,60956743.0
METHODIST TRANSPLANT PHYSICIANS,01-0612870,Health Support Services (Health — General and Rehabilitative),Yes,2020.0,7492597.0,7048690.0,443907.0
EITING FOUNDATION,01-0614397,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1431294.0,1008880.0,
NEIGHBORHOOD LEADERSHIP INSTITUTE,01-0621494,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,1337930.0,1526564.0,
PINDAROS FOUNDATION INC,01-0623055,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3034782.0,47337626.0,
NEHI INC,01-0624865,Research Institutes and/or Public Policy Analysis (Health — General and Rehabilitative),Yes,2020.0,977558.0,1314682.0,
SALEM HEALTH AND WELLNESS FOUNDATION INC,01-0625542,Fund Raising and/or Fund Distribution (Health — General and Rehabilitative),Yes,2020.0,2140803.0,5604689.0,
DOING HIS TIME PRISON MINISTRY,01-0626360,"Private Operating Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,566564.0,491794.0,
SHOLOM COMMUNITY ALLIANCE HOME HEALTH CARE,01-0628051,Health Support Services (Health — General and Rehabilitative),Yes,2020.0,4889502.0,4527670.0,361832.0
PERSONAL ASSISTANCE OPTIONS,01-0630527,"Homemaker, Home Health Aide (Human Services — Multipurpose and Other)",Yes,2020.0,3533059.0,3032834.0,500225.0
MGM RESORTS FOUNDATION,01-0640027,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,16665456.0,19435876.0,
MILL PARK FOUNDATION,01-0644503,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,940721.0,2103604.0,
INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL INC,01-0646166,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,19874944.0,21282237.0,
NATIONAL INSTITUTE FOR CHILDRENS HEALTH QUALITY INC,01-0647374,Research Institutes and/or Public Policy Analysis (Human Services — Multipurpose and Other),Yes,2020.0,7746332.0,7681250.0,65082.0
POMEROY FAMILY FOUNDATION,01-0647596,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,502161.0,114362.0,
ORTHOCAROLINA RESEARCH INSTITUTE INC,01-0648145,"Nerve, Muscle, Bone Research (Medical Research)",Yes,2020.0,2006703.0,2133587.0,
IRANIAN AMERICAN JEWISH FEDERATION,01-0651843,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,4271082.0,5352669.0,
MARYLAND COMMUNITY HEALTH INITIATIVES,01-0657461,Health Support Services (Health — General and Rehabilitative),Yes,2020.0,3420002.0,3009549.0,410453.0
INTERNATIONAL APOSTOLIC MISSIONS,01-0657646,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2512262.0,2406084.0,106178.0
COMMUNITY SERVICE SOLUTIONS,01-0658352,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,551046.0,466351.0,84695.0
KIEVE FOUNDATION,01-0664998,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1461114.0,305709.0,
FAMILY HEALTH CENTER OF SOUTHERN OKLAHOMA INC,01-0667694,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2020.0,13197276.0,11640971.0,1556305.0
GRANTMAKERS FOR EFFECTIVE ORGANIZATIONS,01-0669150,"Management & Technical Assistance (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,5494551.0,4465732.0,1028819.0
WASHINGTON DRUG & ALCOHOL COMMISSION INC,01-0671144,"Alcohol, Drug and Substance Abuse, Dependency Prevention and Treatment (Mental Health, Crisis Intervention)",Yes,2020.0,3836955.0,3899057.0,
SHINER NURSING AND REHABILITATION CENTER INC,01-0674962,"Nursing, Convalescent Facilities (Health — General and Rehabilitative)",Yes,2020.0,5849276.0,5284131.0,565145.0
COMMUNITY HEALTH COUNCIL OF WYANDOTTE COUNTY INC,01-0674969,Community Health Systems (Health — General and Rehabilitative),Yes,2020.0,1508037.0,1258055.0,249982.0
CAMBRIDGE HEALTH ALLIANCE FOUNDATION INC,01-0676306,Single Organization Support (Health — General and Rehabilitative),Yes,2020.0,1628425.0,886142.0,742283.0
SAN FRANCISCO FOUNDATION,01-0679337,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,341484551.0,254307023.0,87177528.0
HOPE HEALTH CENTER INC,01-0680401,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2021.0,769949.0,705390.0,64559.0
PJ CALLAHAN FOUNDATION INC,01-0687604,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,545863.0,152214.0,
FLORIDA BREAST CANCER COALITION RESEARCH FOUNDATION,01-0694045,Fund Raising and/or Fund Distribution (Medical Research),Yes,2020.0,1709469.0,1598443.0,111026.0
UNIVEST FOUNDATION,01-0702102,"Philanthropy, Voluntarism, and Grantmaking Foundations N.E.C.",Yes,2021.0,2567153.0,2630581.0,
AMERICAN EAGLE LIFECARE CORPORATION,01-0706736,"Nursing, Convalescent Facilities (Health — General and Rehabilitative)",Yes,2020.0,83318408.0,95743245.0,
MARSHALL MATHERS FOUNDATION,01-0706738,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1515493.0,1367876.0,
NEW JERUSALEM COMMUNITY DEVELOPMENT CORPORATION,01-0714415,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,811415.0,786870.0,24545.0
CHERYL C AND BLAIR EFFRON FAMILY FOUNDATION,01-0720431,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2756536.0,625286.0,
WASSERMAN FOUNDATION,01-0722408,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,851308.0,186387.0,
